from_id,to_id
0,2
1,0
2,215
2,216
2,217
3,5
4,3
4,213
4,214
5,8
6,1
7,5
8,10
9,6
10,12
11,9
12,48
14,13
14,33
16,15
16,31
18,17
18,21
18,28
20,19
20,22
20,100
24,23
24,34
24,131
26,25
26,132
26,133
27,29
28,27
29,14
29,35
30,32
31,30
31,36
32,20
33,26
34,16
38,37
38,59
40,39
40,161
41,43
42,41
42,44
43,53
46,45
46,51
47,11
48,49
49,106
49,107
50,52
51,50
52,47
52,225
53,53
55,54
55,63
57,56
57,65
59,58
59,62
61,40
61,60
62,55
63,93
64,57
65,61
67,66
67,193
69,68
69,198
71,70
71,203
71,210
73,72
73,189
73,211
75,74
75,145
75,146
77,76
77,148
77,149
78,80
78,81
78,82
78,83
78,84
79,78
82,181
82,218
85,87
85,88
85,89
85,90
85,91
86,85
86,219
89,170
93,92
93,96
93,105
95,64
95,94
95,97
98,18
99,98
100,101
101,103
102,99
103,104
104,95
105,102
107,120
108,110
108,111
109,108
110,175
112,114
112,115
113,112
114,151
117,116
117,135
117,136
119,118
119,138
119,139
120,42
121,46
121,121
122,124
122,125
123,122
124,140
124,141
126,128
126,129
127,126
127,143
128,221
130,24
132,167
134,117
134,182
136,174
137,119
139,183
139,184
140,192
142,127
144,75
146,158
146,208
147,77
147,209
148,162
150,152
150,153
151,150
152,176
154,156
154,157
155,154
156,109
158,159
159,38
160,147
161,160
162,165
162,194
163,144
163,164
166,79
166,168
166,169
167,166
170,171
170,172
170,173
172,130
174,113
175,137
176,178
177,155
178,180
179,177
179,179
180,201
181,134
184,86
185,187
186,185
187,71
188,190
189,188
190,191
191,142
191,207
191,223
192,186
192,206
192,222
193,163
194,69
195,67
195,197
196,195
198,199
198,200
199,204
201,201
202,196
203,202
204,205
205,73
212,4
215,220
220,123
221,212
224,220
